doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
source-qtu-academic-affairs,data\crawl_raw\source-qtu-academic-affairs.md,Quy định công tác học vụ Trường Đại học Quang Trung,https://qtu.edu.vn/qd-95-ban-hanh-quy-dinh-ve-cong-tac-hoc-vu-tai-truong-dai-hoc-quang-trung/,2026-09-19,95/QĐ-ĐHQT ngày 24/06/2021,public-source
source-tnut-advanced-regulation,data\crawl_raw\source-tnut-advanced-regulation.md,Quy chế đào tạo chương trình tiên tiến tại TNUT,https://fit.tnut.edu.vn/bai-viet/quy-che-dao-tao-trinh-do-dai-hoc-cho-chuong-trinh-tien-tien-nam-2022-176,2026-09-19,3571/QĐ-ĐHKTCN ngày 14/12/2022,public-source
